level,itl,name,year,GVA per Hour,Change in GVA per hour
ITL3,TLE45,Wakefield,2005,22.8,100.2
ITL1,TLF,East Midlands,2005,22,92.9
ITL2,TLF1,Derbyshire and Nottinghamshire,2005,22.4,96.6
ITL3,TLF11,Derby,2005,27.5,125.8
ITL3,TLF12,East Derbyshire,2005,22.7,97.2
ITL3,TLF13,South and West Derbyshire,2005,20.9,86.7
ITL3,TLF14,Nottingham,2005,20.6,90.5
ITL3,TLF15,North Nottinghamshire,2005,21.7,102.4
ITL3,TLF16,South Nottinghamshire,2005,23.5,83.4
ITL2,TLF2,"Leicestershire, Rutland and Northamptonshire",2005,21.9,89.8
ITL3,TLF21,Leicester,2005,19.1,77.4
ITL3,TLF22,Leicestershire CC and Rutland,2005,24.1,97.3
ITL3,TLF24,West Northamptonshire,2005,21.6,88.4
ITL3,TLF25,North Northamptonshire,2005,20.7,107.6
ITL2,TLF3,Lincolnshire,2005,21.5,90.4
ITL3,TLF30,Lincolnshire CC,2005,21.5,91.3
ITL1,TLG,West Midlands,2005,22.3,92.1
ITL2,TLG1,"Herefordshire, Worcestershire and Warwickshire",2005,22.7,87.1
ITL3,TLG11,"Herefordshire, County of",2005,19.2,96.2
ITL3,TLG12,Worcestershire CC,2005,21.3,85.7
ITL3,TLG13,Warwickshire CC,2005,25.3,93.5
ITL2,TLG2,Shropshire and Staffordshire,2005,22,98.5
ITL3,TLG21,Telford and Wrekin,2005,22.3,96.6
ITL3,TLG22,Shropshire CC,2005,21.5,109
ITL3,TLG23,Stoke-on-Trent,2005,20.1,83.2
ITL3,TLG24,Staffordshire CC,2005,22.7,102.1
ITL2,TLG3,West Midlands,2005,22.2,91.7
ITL3,TLG31,Birmingham,2005,21.7,91.9
ITL3,TLG32,Solihull,2005,29.2,94.5
ITL3,TLG33,Coventry,2005,26.2,98
ITL3,TLG36,Dudley,2005,19.2,93.5
ITL3,TLG37,Sandwell,2005,21.5,96.6
ITL3,TLG38,Walsall,2005,17.5,91.4
ITL3,TLG39,Wolverhampton,2005,21.9,104.5
ITL1,TLH,East,2005,25,94.3
ITL2,TLH1,East Anglia,2005,23.7,91.1
ITL3,TLH11,Peterborough,2005,27.5,101.2
ITL3,TLH12,Cambridgeshire CC,2005,25.7,97.9
ITL3,TLH14,Suffolk CC,2005,23.9,88.5
ITL3,TLH15,Norwich and East Norfolk,2005,19.1,71.7
ITL3,TLH16,North and West Norfolk,2005,22.2,107.6
ITL3,TLH17,Breckland and South Norfolk,2005,22.9,105.4
ITL2,TLH2,Bedfordshire and Hertfordshire,2005,27.1,97.2
ITL3,TLH21,Luton,2005,23.9,79.5
ITL3,TLH23,Hertfordshire CC,2005,29.1,103.3
ITL3,TLH24,Bedford,2005,21.6,89.7
ITL3,TLH25,Central Bedfordshire,2005,23.3,98.2
ITL2,TLH3,Essex,2005,24.7,95.8
ITL3,TLH31,Southend-on-Sea,2005,19.1,95.2
ITL3,TLH32,Thurrock,2005,26.8,98.3
ITL3,TLH34,Essex Haven Gateway,2005,21.7,88.9
ITL3,TLH35,West Essex,2005,28.8,119.7
ITL3,TLH36,Heart of Essex,2005,25.8,88.1
ITL3,TLH37,Essex Thames Gateway,2005,25.6,97.4
ITL1,TLI,London,2005,33.9,92.9
ITL2,TLI3,Inner London - West,2005,36.9,90.8
ITL3,TLI31,Camden and City of London,2005,45.8,107.4
ITL3,TLI32,Westminster,2005,35.4,85.5
ITL3,TLI33,Kensington & Chelsea and Hammersmith & Fulham,2005,24.7,73.1
ITL3,TLI34,Wandsworth,2005,22.1,94.2
ITL2,TLI4,Inner London - East,2005,33.8,97.2
ITL3,TLI41,Hackney and Newham,2005,25.8,91.8
ITL3,TLI42,Tower Hamlets,2005,55.4,131.4
ITL3,TLI43,Haringey and Islington,2005,31.7,77.8
ITL3,TLI44,Lewisham and Southwark,2005,27.1,99.2
ITL3,TLI45,Lambeth,2005,29.6,90
ITL2,TLI5,Outer London - East and North East,2005,30.7,101.5
ITL3,TLI51,Bexley and Greenwich,2005,34.8,111.2
ITL3,TLI52,Barking & Dagenham and Havering,2005,29.8,102.2
ITL3,TLI53,Redbridge and Waltham Forest,2005,27.5,101.6
ITL3,TLI54,Enfield,2005,31.1,99.8
ITL2,TLI6,Outer London - South,2005,29.9,98.2
ITL3,TLI61,Bromley,2005,32.2,119.2
ITL3,TLI62,Croydon,2005,28.3,73.4
ITL3,TLI63,"Merton, Kingston upon Thames and Sutton",2005,29.9,110.7
ITL2,TLI7,Outer London - West and North West,2005,32.1,90.2
ITL3,TLI71,Barnet,2005,29.1,107.2
ITL3,TLI72,Brent,2005,27.9,102
ITL3,TLI73,Ealing,2005,28.2,93.3
ITL3,TLI74,Harrow and Hillingdon,2005,32.6,88.1
ITL3,TLI75,Hounslow and Richmond upon Thames,2005,38,88.8
ITL1,TLJ,South East,2005,27.7,87.8
ITL2,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire",2005,30.6,85.8
ITL3,TLJ11,Berkshire,2005,34.8,71
ITL3,TLJ12,Milton Keynes,2005,31.5,98.6
ITL3,TLJ13,Buckinghamshire CC,2005,28.1,104.2
ITL3,TLJ14,Oxfordshire CC,2005,25.7,101
ITL2,TLJ2,"Surrey, East and West Sussex",2005,27.4,91.7
ITL3,TLJ21,Brighton and Hove,2005,21.9,74.8
ITL3,TLJ22,East Sussex CC,2005,20,102.2
ITL3,TLJ25,West Surrey,2005,31,88
ITL3,TLJ26,East Surrey,2005,38.1,116.6
ITL3,TLJ27,West Sussex (South West),2005,24.3,92.8
ITL3,TLJ28,West Sussex (North East),2005,24.4,89.3
ITL2,TLJ3,Hampshire and Isle of Wight,2005,26.7,81.4
ITL3,TLJ31,Portsmouth,2005,23.2,79.9
ITL3,TLJ32,Southampton,2005,23.9,71.2
ITL3,TLJ34,Isle of Wight,2005,20.8,96.1
ITL3,TLJ35,South Hampshire,2005,25.8,90.1
ITL3,TLJ36,Central Hampshire,2005,26.4,83.8
ITL3,TLJ37,North Hampshire,2005,33.9,71.7
ITL2,TLJ4,Kent,2005,24.4,94.9
ITL3,TLJ41,Medway,2005,23.3,80
ITL3,TLJ43,Kent Thames Gateway,2005,25.4,100
ITL3,TLJ44,East Kent,2005,23.5,112.9
ITL3,TLJ45,Mid Kent,2005,21.6,96.6
ITL3,TLJ46,West Kent,2005,27.8,87.1
ITL1,TLK,South West,2005,23.6,94.7
ITL2,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol Area",2005,25.4,92.4
ITL3,TLK11,"Bristol, City of",2005,22.3,94.9
ITL3,TLK12,"Bath and North East Somerset, North Somerset and South Gloucestershire",2005,26.1,85.9
ITL3,TLK13,Gloucestershire CC,2005,25.7,99.2
ITL3,TLK14,Swindon,2005,30.2,77.5
ITL3,TLK15,Wiltshire,2005,24.9,100.4
ITL2,TLK2,Dorset and Somerset,2005,23,103.1
ITL3,TLK23,Somerset CC,2005,21.9,104.6
ITL3,TLK24,"Bournemouth, Christchurch and Poole",2005,24.1,104.4
ITL3,TLK25,Dorset,2005,23.3,104.8
ITL2,TLK3,Cornwall and Isles of Scilly,2005,20.4,96.3
ITL3,TLK30,Cornwall and Isles of Scilly,2005,20.4,97.7
ITL2,TLK4,Devon,2005,21.7,92.1
ITL3,TLK41,Plymouth,2005,22.3,99.5
ITL3,TLK42,Torbay,2005,18.8,109
ITL3,TLK43,Devon CC,2005,22,90.8
ITL1,TLL,Wales,2005,21.2,87.8
ITL2,TLL1,West Wales and The Valleys,2005,20.7,88.7
ITL3,TLL11,Isle of Anglesey,2005,22.3,113.2
ITL3,TLL12,Gwynedd,2005,20.4,103.6
ITL3,TLL13,Conwy and Denbighshire,2005,18.7,96.4
ITL3,TLL14,South West Wales,2005,20.4,97
ITL3,TLL15,Central Valleys,2005,20.2,73.7
ITL3,TLL16,Gwent Valleys,2005,21,90.5
ITL3,TLL17,Bridgend and Neath Port Talbot,2005,22.3,84.5
ITL3,TLL18,Swansea,2005,21.2,81.4
ITL2,TLL2,East Wales,2005,21.8,86.9
ITL3,TLL21,Monmouthshire and Newport,2005,21.6,89.4
ITL3,TLL22,Cardiff and Vale of Glamorgan,2005,22.9,84.3
ITL3,TLL23,Flintshire and Wrexham,2005,22.6,86.6
